name,price,ram,ram_unit,rom_type,rom,rom_unit,screen_size,screen_detail,cpu,gpu,battery,weight,rating,link_href,brand,series
Lenovo ThinkBook 16 G6 i5 13420H (21KH00Q0VN),17.890.000,16,GB,SSD,512,GB,16.0,WUXGA,"CPU: i5, 13420H, 2.1GHz",Card: Intel UHD,Pin: 71Wh,1.7,,https://www.thegioididong.com/laptop/lenovo-thinkbook-16-g6-i5-21kh00q0vn,LENOVO,ThinkBook
Lenovo Thinkpad X13 Ultra 5 125U (21LU004NVN),32.990.000,16,GB,SSD,512,GB,13.3,WUXGA,"CPU: Ultra 5, 125U, 1.3GHz",Card: Intel Graphics,Pin: 54.7 Wh,1.17,5.0,https://www.thegioididong.com/laptop/lenovo-thinkpad-x13-ultra-5-21lu004nvn,LENOVO,ThinkPad
Lenovo ThinkPad T14s i7 1355U (21F6007XVN),44.290.000,32,GB,SSD,512,GB,14.0,"WUXGA, Cảm ứng","CPU: i7, 1355U, 1.7GHz",Card: Intel Iris Xe,Pin: 57Wh,1.48,,https://www.thegioididong.com/laptop/lenovo-thinkpad-t14s-i7-21f6007xvn,LENOVO,ThinkPad
Lenovo Gaming Legion Pro 7 16IRX9H i9 14900HX (83DE001MVN),106.790.000,32,GB,SSD,1,TB,16.0,"WQXGA (2560 x 1600), 240Hz","CPU: i9, 14900HX, 2.2GHz",Card: RTX 4090 16GB,Pin: 99.9 Wh,2.62,,https://www.thegioididong.com/laptop/lenovo-legion-pro-7-16irx9h-i9-83de001mvn,LENOVO,Legion Gaming
Lenovo Gaming LOQ 15ARP9 R7 7435HS (83JC003YVN),29.290.000,24,GB,SSD,512,GB,15.6,"Full HD (1920 x 1080), 144Hz","CPU: Ryzen 7, 7435HS, 3.1GHz",Card: RTX 4060 8GB,Pin: 60 Wh,2.38,,https://www.thegioididong.com/laptop/lenovo-loq-15iax9-i5-83jc003yvn,LENOVO,LOQ Gaming
Lenovo ThinkBook 16 G7 Ultra 7 155U (21MS007HVN),29.890.000,32,GB,SSD,1,TB,16.0,WUXGA,"CPU: Ultra 7, 155U, 1.7GHz",Card: Intel Graphics,Pin: 45Wh,1.7,,https://www.thegioididong.com/laptop/lenovo-thinkbook-16-g7-ultra-7-21ms007hvn,LENOVO,ThinkBook
Lenovo Thinkpad X13 Ultra 7 155H (21LU004LVN),44.990.000,32,GB,SSD,1,TB,13.3,"WUXGA, Cảm ứng","CPU: Ultra 7, 155H, 3.8GHz",Card: Intel Arc Graphics,Pin: 54.7 Wh,1.17,5.0,https://www.thegioididong.com/laptop/lenovo-thinkpad-x13-ultra-7-21lu004lvn,LENOVO,ThinkPad
Lenovo IdeaPad 5 2in1 14Q8X9 X1P 42 100 (83GH001FVN),25.990.000,16,GB,SSD,512,GB,14.0,"WUXGA, OLED, Cảm ứng","CPU: Snapdragon X Plus, X1P 42 100",Card: Qualcomm Adreno GPU,Pin: 57Wh,1.49,,https://www.thegioididong.com/laptop/lenovo-ideapad-5-2in1-14q8x9-x1p-42-100-83gh001fvn,LENOVO,IdeaPad
Lenovo IdeaPad Flex 5 14ABR8 R7 7730U (82XX00DLVN),18.990.000,16,GB,SSD,512,GB,14.0,"WUXGA, Cảm ứng","CPU: Ryzen 7, 7730U, 2GHz",Card: Radeon,Pin: 52.5 Wh,1.55,,https://www.thegioididong.com/laptop/lenovo-ideapad-flex-5-14abr8-r7-7730u-82xx00dlvn,LENOVO,IdeaPad
Lenovo Gaming LOQ 15IRX9 i7 13650HX (83DV00UGVN),32.990.000,24,GB,SSD,512,GB,15.6,"Full HD (1920 x 1080), 144Hz","CPU: i7, 13650HX, 2.6GHz",Card: RTX 4050 6GB,Pin: 60 Wh,2.38,,https://www.thegioididong.com/laptop/lenovo-loq-15irx9-i7-83dv00ugvn,LENOVO,LOQ Gaming
Lenovo ThinkBook 14 G7 Ultra 7 155U (21MR0070VN),29.590.000,32,GB,SSD,512,GB,14.0,WUXGA,"CPU: Ultra 7, 155U, 1.7GHz",Card: Intel Graphics,Pin: 45Wh,1.38,,https://www.thegioididong.com/laptop/lenovo-thinkbook-14-g7-ultra-7-21mr0070vn,LENOVO,ThinkBook
Lenovo ThinkPad E14 Ultra 7 155H (21M7004YVN),28.890.000,16,GB,SSD,512,GB,14.0,WUXGA,"CPU: Ultra 7, 155H, 3.8GHz",Card: Intel Arc Graphics,Pin: 47 Wh,1.44,,https://www.thegioididong.com/laptop/lenovo-thinkpad-e14-ultra-7-21m7004yvn,LENOVO,ThinkPad
Lenovo ThinkPad E16 Ultra 5 125U (21MA0049VN),26.590.000,32,GB,SSD,1,TB,16.0,WUXGA,"CPU: Ultra 5, 125U, 1.3GHz",Card: Intel Graphics,Pin: 47 Wh,1.81,,https://www.thegioididong.com/laptop/lenovo-thinkpad-e16-ultra-5-21ma0049vn,LENOVO,ThinkPad
Lenovo ThinkPad X1 Carbon Ultra 7 155H (21KC008NVN),56.390.000,32,GB,SSD,1,TB,14.0,WUXGA,"CPU: Ultra 7, 155H, 3.8GHz",Card: Intel Arc Graphics,Pin: 57Wh,1.09,,https://www.thegioididong.com/laptop/lenovo-thinkpad-x1-carbon-ultra-7-21kc008nvn,LENOVO,ThinkPad
Lenovo ThinkPad X1 Carbon Ultra 7 155H (21KC008SVN),60.190.000,32,GB,SSD,1,TB,14.0,"2.8K (2880 x 1800) - OLED 16:10, 120Hz","CPU: Ultra 7, 155H, 3.8GHz",Card: Intel Arc Graphics,Pin: 57Wh,1.09,,https://www.thegioididong.com/laptop/lenovo-thinkpad-x1-carbon-ultra-7-21kc008svn,LENOVO,ThinkPad
Lenovo ThinkPad X1 Carbon Ultra 7 165U (21KC00AGVN),65.390.000,64,GB,SSD,1,TB,14.0,"2.8K (2880 x 1800) - OLED 16:10, 120Hz","CPU: Ultra 7, 165U, 1.7GHz",Card: Intel Graphics,Pin: 57Wh,1.09,,https://www.thegioididong.com/laptop/lenovo-thinkpad-x1-carbon-ultra-7-21kc00agvn,LENOVO,ThinkPad
Lenovo Yoga 7 2in1 14IML9 Ultra 5 125H (83DJ00DMVN),26.990.000,16,GB,SSD,512,GB,14.0,"WUXGA, OLED, Cảm ứng","CPU: Ultra 5, 125H, 1.2GHz",Card: Intel Arc Graphics,Pin: 71Wh,1.49,,https://www.thegioididong.com/laptop/lenovo-yoga-7-2in1-14iml9-ultra-5-83dj00dmvn,LENOVO,Yoga
Lenovo IdeaPad Slim 5 14IMH9 Ultra 5 125H (83DA006TVN),23.690.000,16,GB,SSD,1,TB,14.0,"WUXGA, OLED","CPU: Ultra 5, 125H, 1.2GHz",Card: Intel Arc Graphics,Pin: 57Wh,1.48,,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-5-14imh9-ultra-5-83da006tvn,LENOVO,IdeaPad
Lenovo Gaming LOQ Essential 15IAX9E i5 12450HX (83LK0036VN),19.790.000,12,GB,SSD,512,GB,15.6,"Full HD (1920 x 1080), 144Hz","CPU: i5, 12450HX, 3.1GHz",Card: RTX 3050 6GB,Pin: 57Wh,1.77,,https://www.thegioididong.com/laptop/lenovo-loq-15iax9e-i5-83lk0036vn,LENOVO,LOQ Gaming
Lenovo Legion 7 16IRX9 i9 14900H,66.790.000,32,GB,SSD,1,TB,16.0,"3.2K (3200 x 2000), 165Hz","CPU: i9, 14900HX, 2.2GHz",Card: RTX 4070 8GB,Pin: 99.9 Wh,2.24,,https://www.thegioididong.com/laptop/lenovo-legion-7-16irx9-i9-83fd004mvn,LENOVO,Legion Gaming
